epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,247.675,0.71586,0.47852,0.92617,0.81724,0.85152,0.8818,0.63607,0.91914,0.81283,1.1076,0.00060759,0.00060759,0.00060759
43,253.748,0.68552,0.44365,0.91976,0.82541,0.8623,0.89005,0.64063,0.91788,0.77611,1.10763,0.000602092,0.000602092,0.000602092
44,259.795,0.68933,0.44635,0.91864,0.85901,0.85904,0.88662,0.64818,0.92499,0.82163,1.09808,0.000596595,0.000596595,0.000596595
45,265.885,0.68076,0.43139,0.91558,0.88548,0.84941,0.88581,0.64661,0.91978,0.80634,1.09676,0.000591097,0.000591097,0.000591097
46,271.902,0.70856,0.43535,0.94218,0.90397,0.81159,0.88481,0.63174,0.93103,0.79529,1.10686,0.000585599,0.000585599,0.000585599
47,277.934,0.70559,0.44823,0.92415,0.92078,0.80913,0.89857,0.64042,0.92163,0.70594,1.0974,0.000580101,0.000580101,0.000580101
48,283.944,0.66948,0.4245,0.91001,0.85285,0.88972,0.89835,0.63157,0.92977,0.69034,1.11032,0.000574603,0.000574603,0.000574603
49,290.045,0.65269,0.41343,0.90847,0.84499,0.86977,0.88502,0.63394,0.919,0.71335,1.09308,0.000569106,0.000569106,0.000569106
50,296.11,0.71092,0.44205,0.93009,0.8383,0.85665,0.88146,0.63097,0.8904,0.76346,1.09642,0.000563608,0.000563608,0.000563608
51,302.145,0.6537,0.40231,0.91187,0.90276,0.81861,0.88227,0.64087,0.89454,0.78318,1.09678,0.00055811,0.00055811,0.00055811
52,308.239,0.67534,0.41823,0.92016,0.89537,0.85745,0.88252,0.64891,0.92792,0.76368,1.11281,0.000552612,0.000552612,0.000552612
53,314.341,0.66923,0.41979,0.91933,0.9079,0.84291,0.88751,0.64972,0.8808,0.74495,1.10445,0.000547114,0.000547114,0.000547114
54,320.485,0.65559,0.40675,0.89429,0.89414,0.84832,0.87454,0.64183,0.90616,0.77887,1.1322,0.000541617,0.000541617,0.000541617
55,326.546,0.67628,0.42817,0.93144,0.89133,0.83248,0.87557,0.63948,0.88903,0.78126,1.12129,0.000536119,0.000536119,0.000536119
56,332.542,0.60691,0.37844,0.89255,0.83143,0.85933,0.86908,0.61885,0.96797,0.79667,1.15087,0.000530621,0.000530621,0.000530621
57,338.655,0.64673,0.40115,0.89306,0.82225,0.88787,0.87763,0.62904,0.95784,0.68633,1.13408,0.000525123,0.000525123,0.000525123
58,344.718,0.6248,0.38687,0.90751,0.89806,0.83816,0.87925,0.62755,0.9721,0.70825,1.13849,0.000519625,0.000519625,0.000519625
59,350.788,0.63697,0.4075,0.8983,0.88503,0.85161,0.88476,0.63311,0.91426,0.70686,1.10322,0.000514128,0.000514128,0.000514128
60,356.868,0.59293,0.37929,0.8875,0.85582,0.86828,0.88357,0.64405,0.87764,0.69402,1.10515,0.00050863,0.00050863,0.00050863
61,362.921,0.6034,0.38352,0.89906,0.85426,0.86784,0.88477,0.64682,0.91462,0.72675,1.12151,0.000503132,0.000503132,0.000503132
62,368.962,0.59949,0.3863,0.89602,0.88138,0.83864,0.88927,0.64411,0.92496,0.76746,1.12948,0.000497634,0.000497634,0.000497634
63,375.046,0.60138,0.38863,0.87913,0.8576,0.84494,0.87671,0.64338,0.88831,0.74182,1.11105,0.000492136,0.000492136,0.000492136
64,381.084,0.59381,0.36879,0.89907,0.87541,0.84061,0.88421,0.64913,0.93626,0.73769,1.13444,0.000486639,0.000486639,0.000486639
65,387.173,0.59358,0.37666,0.90145,0.87626,0.84311,0.87614,0.64471,0.91734,0.70114,1.1178,0.000481141,0.000481141,0.000481141
66,393.25,0.5831,0.37192,0.87303,0.85125,0.88956,0.88451,0.65084,0.93054,0.66813,1.12312,0.000475643,0.000475643,0.000475643
67,399.423,0.58942,0.37555,0.88567,0.84723,0.91525,0.88737,0.64702,0.91188,0.62159,1.10838,0.000470145,0.000470145,0.000470145
68,405.529,0.61859,0.38319,0.87873,0.88625,0.82516,0.87054,0.63557,0.9698,0.69602,1.13512,0.000464647,0.000464647,0.000464647
69,411.691,0.62891,0.39845,0.88422,0.8566,0.84286,0.86507,0.62427,0.98035,0.72499,1.14195,0.00045915,0.00045915,0.00045915
70,417.823,0.62371,0.37714,0.88574,0.90598,0.84467,0.87978,0.63795,0.94004,0.65895,1.10485,0.000453652,0.000453652,0.000453652
71,423.955,0.62764,0.37218,0.88759,0.86127,0.88303,0.87873,0.65364,0.90296,0.65106,1.10814,0.000448154,0.000448154,0.000448154
72,430.169,0.56972,0.35682,0.87752,0.86556,0.90058,0.88735,0.6481,0.91635,0.63884,1.09626,0.000442656,0.000442656,0.000442656
73,436.327,0.58549,0.3565,0.87802,0.87008,0.89798,0.89243,0.65321,0.90561,0.63458,1.09716,0.000437158,0.000437158,0.000437158
74,442.387,0.56476,0.34774,0.8804,0.9003,0.86731,0.89901,0.65821,0.90018,0.62284,1.11103,0.000431661,0.000431661,0.000431661
75,451.876,0.54036,0.3354,0.8713,0.88951,0.87895,0.89748,0.65302,0.8849,0.60404,1.09338,0.000426163,0.000426163,0.000426163
